,0
0,"['experimental', 'investigation', 'aerodynamics', 'awing', 'slipstream', 'experimental', 'study', 'wing', 'propeller', 'slipstream', 'wasmade', 'order', 'determine', 'spanwise', 'distribution', 'liftincrease', 'due', 'slipstream', 'different', 'angles', 'attack', 'wingand', 'different', 'free', 'stream', 'slipstream', 'velocity', 'ratios', 'theresults', 'intended', 'part', 'evaluation', 'basis', 'differenttheoretical', 'treatments', 'problem', 'comparative', 'span', 'loading', 'curves', 'together', 'supportingevidence', 'showed', 'substantial', 'part', 'lift', 'incrementproduced', 'slipstream', 'due', 'destalling', 'boundarylayercontroleffect', 'integrated', 'remaining', 'lift', 'incrementafter', 'subtracting', 'destalling', 'lift', 'found', 'agreewell', 'potential', 'flow', 'theory', 'empirical', 'evaluation', 'destalling', 'effects', 'made', 'forthe', 'specific', 'configuration', 'experiment']"
1,"['simple', 'shear', 'flow', 'past', 'flat', 'plate', 'incompressible', 'fluid', 'smallviscosity', 'study', 'highspeed', 'viscous', 'flow', 'past', 'twodimensional', 'body', 'itis', 'usually', 'necessary', 'consider', 'curved', 'shock', 'wave', 'emitting', 'thenose', 'leading', 'edge', 'body', 'consequently', 'exists', 'inviscidrotational', 'flow', 'region', 'shock', 'wave', 'boundary', 'layer', 'situation', 'arises', 'instance', 'study', 'hypersonicviscous', 'flow', 'past', 'flat', 'plate', 'situation', 'somewhat', 'differentfrom', 'prandtls', 'classical', 'boundarylayer', 'problem', 'prandtlsoriginal', 'problem', 'inviscid', 'free', 'stream', 'outside', 'boundary', 'layer', 'isirrotational', 'hypersonic', 'boundarylayer', 'problem', 'inviscidfree', 'stream', 'must', 'considered', 'rotational', 'possible', 'effects', 'ofvorticity', 'recently', 'discussed', 'ferri', 'libby', 'presentpaper', 'simple', 'shear', 'flow', 'past', 'flat', 'plate', 'fluid', 'smallviscosity', 'investigated', 'shown', 'problem', 'againbe', 'treated', 'boundarylayer', 'approximation', 'novel', 'featurebeing', 'free', 'stream', 'constant', 'vorticity', 'discussionhere', 'restricted', 'twodimensional', 'incompressible', 'steady', 'flow']"
2,"['boundary', 'layer', 'simple', 'shear', 'flow', 'past', 'flat', 'plate', 'boundarylayer', 'equations', 'presented', 'steadyincompressible', 'flow', 'pressure', 'gradient']"
3,"['approximate', 'solutions', 'incompressible', 'laminarboundary', 'layer', 'equations', 'plate', 'shear', 'flow', 'twodimensional', 'steady', 'boundarylayerproblem', 'flat', 'plate', 'ashear', 'flow', 'incompressible', 'fluid', 'considered', 'solutions', 'boundarylayerthickness', 'skin', 'friction', 'velocitydistribution', 'boundarylayer', 'obtained', 'karmanpohlhausentechnique', 'comparison', 'withthe', 'boundary', 'layer', 'uniform', 'flow', 'alsobeen', 'made', 'show', 'effect', 'ofvorticity']"
4,"['onedimensional', 'transient', 'heat', 'conduction', 'doublelayerslab', 'subjected', 'linear', 'heat', 'input', 'small', 'timeinternal', 'analytic', 'solutions', 'presented', 'transient', 'heat', 'conductionin', 'composite', 'slabs', 'exposed', 'one', 'surface', 'atriangular', 'heat', 'rate', 'type', 'heating', 'rate', 'may', 'occur', 'forexample', 'aerodynamic', 'heating']"
5,"['onedimensional', 'transient', 'heat', 'flow', 'multilayerslab', 'recent', 'contribution', 'readersforum', 'wassermann', 'gave', 'analyticsolutions', 'temperature', 'doublelayer', 'slab', 'triangular', 'heatrate', 'input', 'one', 'face', 'insulated', 'otherand', 'thermal', 'resistanceat', 'interface', 'solutions', 'thethree', 'particular', 'casesi', 'propose', 'give', 'general', 'solutionto', 'problem', 'indicatebriefly', 'obtained', 'using', 'method', 'ofreference', '2', 'point', 'outthat', 'solutions', 'given', 'wassermann', 'areincomplete', 'times', 'longerthan', 'duration', 'heat', 'input']"
6,"['effect', 'controlled', 'threedimensional', 'roughnesson', 'boundary', 'layer', 'transition', 'supersonic', 'speeds', 'experiments', 'performed', '12in', 'supersonic', 'windtunnel', 'jet', 'propulsion', 'laboratory', 'california', 'instituteof', 'technology', 'investigate', 'effect', 'threedimensionalroughness', 'elements', 'spheres', 'boundarylayer', 'transition', 'atained', 'local', 'mach', 'numbers', '190', '271', '367', 'varyingtrip', 'size', 'position', 'spacing', 'reynolds', 'number', 'per', 'inch', 'the', 'results', 'indicate', '1', 'transition', 'laminar', 'turbulentflow', 'induced', 'threedimensional', 'roughness', 'elements', 'beginswhen', 'double', 'row', 'spiral', 'vortices', 'trailing', 'element', 'contaminatesand', 'breaks', 'surrounding', 'field', 'vorticity', '2transition', 'appears', 'rather', 'suddenly', 'becoming', 'violent', 'withincreasing', 'roughness', 'height', 'relative', 'boundarylayer', 'thickness3', 'breakdown', 'vorticity', 'field', 'strengthof', 'spiral', 'vortices', 'may', 'still', 'persist', 'sublayer', 'ensuingturbulent', 'flow', '4', 'lateral', 'spacing', 'roughness', 'elements', 'haslittle', 'effect', 'upon', 'initial', 'breakdown', 'contamination', 'thelaminar', 'flow', '5', 'trip', 'reynolds', 'number', 'uand', 'v', 'velocity', 'kinematic', 'viscosity', 'outer', 'edge', 'ofthe', 'boundary', 'layer', 'k', 'roughness', 'height', 'transitionoccurs', 'roughness', 'position', 'varies', 'position', 'reynoldsnumber', 'onefourth', 'power', 'viz', 'x', 'istrip', 'position']"
7,"['measurements', 'effect', 'twodimensional', 'threedimensionalroughness', 'elements', 'boundary', 'layer', 'transition', 'study', 'effect', 'roughness', 'transition', 'h', 'ldryden', 'found', 'basis', 'available', 'data', 'effectof', 'twodimensional', 'roughness', 'element', 'trip', 'wirecould', 'represented', 'reasonably', 'well', 'terms', 'functional', 'relationbetween', 'and', 'reynolds', 'numberof', 'transition', 'based', 'distance', 'leading', 'edge', 'theheight', 'roughness', 'element', 'boundarylayerdisplacement', 'thickness', 'position', 'element', 'hissuggestion', 'additional', 'data', 'obtained', 'primarily', 'toextend', 'range', 'higher', 'values', 'of', 'course', 'aninvestigation', 'transition', 'flat', 'plate', 'conducted', 'thenational', 'bureau', 'standards', 'results', 'twodimensionalroughness', 'elements', 'obtained', 'appeared', 'bedesirable', 'see', 'whether', 'row', 'threedimensional', 'roughnesselements', 'would', 'behave', 'way']"
8,"['transition', 'studies', 'skin', 'friction', 'measurements', 'onan', 'insulated', 'flat', 'plate', 'mach', 'number', '58', 'investigation', 'transition', 'skin', 'friction', 'insulatedflat', 'plate', '5', '26', 'in', 'made', 'galcit', '5', '5', 'inhypersonic', 'wind', 'tunnel', 'nominal', 'mach', 'number', '58', 'phosphorescent', 'lacquer', 'technique', 'used', 'transitiondetection', 'found', 'good', 'agreement', 'totalheadrake', 'measurements', 'along', 'plate', 'surface', 'pitot', 'boundarylayersurveys', 'found', 'boundary', 'layer', 'waslaminar', 'reynolds', 'numbers', 'least', '5', 'x', '10', 'transversecontamination', 'caused', 'turbulent', 'boundary', 'layer', 'thetunnel', 'sidewall', 'originated', 'far', 'downstream', 'flat', 'plate', 'leadingedge', 'reynolds', 'numbers', '15', '2', 'x', '10', 'spread', 'auniform', 'angle', '5', 'compared', '9', 'degree', 'lowspeed', 'flow', 'effect', 'twodimensional', 'local', 'disturbances', 'investigated', 'technique', 'air', 'injection', 'boundarylayer', 'means', 'hastening', 'transition', 'extensively', 'used', 'although', 'onset', 'transition', 'occurred', 'reynolds', 'numbersas', 'low', '10', 'fully', 'developed', 'turbulent', 'boundary', 'layer', 'wasnot', 'obtained', 'reynolds', 'numbers', 'much', '2', 'x', '10', 'regardlessof', 'amount', 'air', 'injected', 'qualitative', 'discussion', 'results', 'given', 'emphasison', 'possibility', 'greater', 'stability', 'laminar', 'boundarylayer', 'hypersonic', 'flow', 'lower', 'speeds', 'direct', 'skinfriction', 'measurements', 'made', 'means', 'thefloating', 'element', 'technique', 'range', 'reynolds', 'numbersverified', 'laminar', 'complete', 'range', 'airinjection', 'turbulent', 'shear', 'obtained', 'reynolds', 'numbersgreater', '2', 'x', '10', 'value', 'good', 'agreement', 'withearlier', 'results', 'investigation', 'turbulent', 'skinfrictioncoefficient', 'found', 'approximately', '040', 'incompressibleflow', 'constant', 'value', 'r', '046', 'effectivereynolds', 'number', '5', '6', 'x', '10']"
9,"['theory', 'impact', 'tube', 'low', 'pressure', 'theoretical', 'analysis', 'made', 'impact', 'tube', 'therelation', 'freestream', 'mach', 'number', 'impact', 'andfreestream', 'pressures', 'densities', 'extremely', 'low', 'pressures', 'it', 'shown', 'results', 'differ', 'appreciably', 'correspondingcontinuum', 'relations']"
